data_in.shape: (2490, 221, 51, 2)
data_out.shape (2490, 221, 51)
(2490, 221, 51, 2) (2490, 221, 51, 2) (2490, 221, 51, 1)
x_train.shape: (1000, 11271, 6)
y_train.shape: (1000, 11271, 1)
rank:[32, 32, 32, 32]
TuckerGeoGkNO(
  (fc0): Linear(in_features=3, out_features=128, bias=True)
  (sp_convs): ModuleList(
    (0-3): 4 x TuckerGalerkinConv()
  )
  (ws): ModuleList(
    (0-3): 4 x Conv1d(128, 128, kernel_size=(1,), stride=(1,))
  )
  (fc1): Linear(in_features=128, out_features=128, bias=True)
  (fc2): Linear(in_features=128, out_features=1, bias=True)
)
In GeoFNO_train, ndim =  2
ep: 163  rel.train: 0.028612200260162354  rel.test: 0.029702917337417603  abs.test: 0.024551767706871033  time: 3.1512701511383057
ep: 164  rel.train: 0.028510768562555314  rel.test: 0.025241184681653976  abs.test: 0.020852452516555785  time: 3.149613618850708
ep: 165  rel.train: 0.028188838481903077  rel.test: 0.027952352166175844  abs.test: 0.023096946179866792  time: 3.1489696502685547
ep: 166  rel.train: 0.025951825737953186  rel.test: 0.02666278213262558  abs.test: 0.022026665657758713  time: 3.1490252017974854
ep: 167  rel.train: 0.02734346458315849  rel.test: 0.02572713077068329  abs.test: 0.021243526935577392  time: 3.1479949951171875
ep: 168  rel.train: 0.03125984039902687  rel.test: 0.0379196086525917  abs.test: 0.03134980112314224  time: 3.1469664573669434
ep: 169  rel.train: 0.03184264671802521  rel.test: 0.029136152863502504  abs.test: 0.02407751828432083  time: 3.146782636642456
ep: 170  rel.train: 0.02731738269329071  rel.test: 0.029174735248088838  abs.test: 0.02411398455500603  time: 3.1474339962005615
ep: 171  rel.train: 0.02775122454762459  rel.test: 0.026376197040081026  abs.test: 0.021788509339094164  time: 3.1473631858825684
ep: 172  rel.train: 0.026732386767864227  rel.test: 0.027074507921934127  abs.test: 0.022375126481056214  time: 3.147308349609375
ep: 173  rel.train: 0.02763253280520439  rel.test: 0.025406921356916426  abs.test: 0.02098545417189598  time: 3.1469523906707764
ep: 174  rel.train: 0.026788268595933914  rel.test: 0.0259095761179924  abs.test: 0.0214030259847641  time: 3.1452763080596924
ep: 175  rel.train: 0.02656996241211891  rel.test: 0.0290714094042778  abs.test: 0.02402899622917175  time: 3.144204616546631
ep: 176  rel.train: 0.026918819427490234  rel.test: 0.02524219200015068  abs.test: 0.020856687128543855  time: 3.145857572555542
ep: 177  rel.train: 0.02803827068209648  rel.test: 0.02854898601770401  abs.test: 0.0235854896903038  time: 3.144817590713501
ep: 178  rel.train: 0.027791835993528365  rel.test: 0.025699953585863113  abs.test: 0.021234898418188094  time: 3.14516019821167
ep: 179  rel.train: 0.027387013733386992  rel.test: 0.028213873952627182  abs.test: 0.023310260474681856  time: 3.1445698738098145
ep: 180  rel.train: 0.023970881432294845  rel.test: 0.02528384044766426  abs.test: 0.020895007401704788  time: 3.143537998199463
ep: 181  rel.train: 0.026705861657857894  rel.test: 0.028800143897533416  abs.test: 0.023805387765169144  time: 3.1434102058410645
ep: 182  rel.train: 0.026496455430984497  rel.test: 0.027184135019779204  abs.test: 0.022475719451904297  time: 3.1444129943847656
ep: 183  rel.train: 0.02557165390253067  rel.test: 0.022115099132061004  abs.test: 0.018266592621803284  time: 3.142571449279785
ep: 184  rel.train: 0.026788066416978836  rel.test: 0.023647627532482146  abs.test: 0.0195347236096859  time: 3.1423416137695312
ep: 185  rel.train: 0.0248372517824173  rel.test: 0.024194593876600265  abs.test: 0.019987776279449462  time: 3.1423120498657227
ep: 186  rel.train: 0.023060572057962418  rel.test: 0.020944619178771974  abs.test: 0.017300674170255662  time: 3.1421022415161133
ep: 187  rel.train: 0.02527514809370041  rel.test: 0.022140076607465742  abs.test: 0.018290967643260957  time: 3.1429362297058105
